HANDLE	BLOCKNAME	EQUIP-DESIGNATION	EQUIP-LOCATION	EQUIP-ELEC-PROP	PRE-DESIGNATION	PRE-DESIGNATION-LOCATION	NEXT-DESIGNATION	NEXT-DESIGNATION-LOCATION	DWG	DATE	NO._OF_CCT'S	PREVIOUS_ID	EQUIP-DESIG.	EQUIP-LOC	FUSE_INPACITY	FUSE_INPACITY1	MOTOR-HP	EQUIP-ID	EQUIP-LOCATION1	EQUIP-PROPERTIES1
'65D7	*U152	MUPS02-PP02	M1035-1	200A/208V/3PH/3W	MUPS02-DIS02	M1041	MULTIFEEDS SEE LEGEND		DWG. M ELEC SLD	05/08/2011	# CTT:	PREV. ID#	MMB01	M1019	In: 200A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'6416	*U152	MUPS02-PP03	M3055	200A/208V/3PH/3W	MUPS02-PP01-BKR	M2037-1	MULTIFEEDS SEE LEGEND		DWG. M ELEC SLD	05/08/2011	# CTT:	PREV. ID#	MMB01	M1019	In: 200A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'6190	*U148	MUPS02-PP01-BKR	M2037-1	60A/208V/3PH/3W	MUPS02-PP01	M2037-1	MUPS02-PP03	M3055	DWG. M ELEC SLD	05/08/2011	# CTT:	PREV. ID#	MMB01	M1019	In: 200A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'5F0A	*U152	MUPS02-PP01	M2037-1	200A/208V/3PH/3W	MUPS02-DIS01	M1041	MUPS02-PP01-BKR	M3055	DWG. M ELEC SLD	05/08/2011	# CTT:	PREV. ID#	MMB01	M1019	In: 200A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'5CFE	*U142	MUPS02-DIS02	M1041	200A/208V/3PH/3W	MUPS02-SPT01	M1041	MUPS02-PP02	M1035-1	DWG. M ELEC SLD	05/08/2011	# CTT:	PREV. ID#	MMB01	M1019	In: 200A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'5A75	*U142	MUPS02-DIS01	M1041	200A/208V/3PH/3W	MUPS02-SPT01	M1041	MUPS02-PP01	M2037-1	DWG. M ELEC SLD	05/08/2011	# CTT:	PREV. ID#	MMB01	M1019	In: 200A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'57A3	*U151	MUPS02-MMBS02	M1041	400A/600V/3PH/3W	MMBUPS02	M1049	MUPS02-TR01	M1041	DWG. M ELEC SLD		# CTT:	PREV. ID#	MUPS02-SPT01	M1041	In: 200A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'55DD	*U148	MUPS02-SUBFEED	M1041	400A/208V/3PH/3W	MUPS02-Q3/Q2	M1041	MUPS02-SPT01	M1041	DWG. M ELEC SLD	05/08/2011	# CTT:	PREV. ID#	MMB01	M1019	In: 200A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'5410	*U145	MUPS02	M1041	112.5kVA/208V/3PH/3W	MUPS01-Q1	M1041			DWG. M ELEC SLD	05/08/2011	# CTT:	PREV. ID#	MMB01	M1019	In: 200A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'524F	*U146	MUPS02	M1041	112.5kVA/208V/3PH/3W			MUPS02-Q2	M1041	DWG. M ELEC SLD	05/08/2011	# CTT:	PREV. ID#	MMB01	M1019	In: 200A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
