HANDLE	BLOCKNAME	EQUIP-DESIGNATION	EQUIP-LOCATION	EQUIP-ELEC-PROP	PRE-DESIGNATION	PRE-DESIGNATION-LOCATION	NEXT-DESIGNATION	NEXT-DESIGNATION-LOCATION	DWG	DATE	NO._OF_CCT'S	PREVIOUS_ID	EQUIP-DESIG.	EQUIP-LOC	FUSE_INPACITY	FUSE_INPACITY1	MOTOR-HP	EQUIP-ID	EQUIP-LOCATION1	EQUIP-PROPERTIES1
'215C	*U119	TDIS313	T1017-1	200A/600V/3PH/4W	TMB313	T4001	T_ELEVATOR	T1017-1	DWG. T ELEC SLD	06/01/11	# CTT:	PREV. ID#	MMB01	M1019	In: 200A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'206C	_U75	TMB308	T4001	70AR/AT 347/600V/3PH/4W	TSDP16	T4001			DWG. T ELEC SLD	06/01/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'19A1	_U109	TPP128	T1023-C	70AR/AMB 120/208V/3PH/4W	TPP-CCT26/28/30	  T4001	MULTIFEEDS SEE LEGEND		DWG. T ELEC SLD	06/02/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'198B	_U117	TPP100-CCT26/28/30	   T4001	70AR/AT 120/208V/3PH/4W	TPP100	TPP128	TPP128	T1023-C	DWG. T ELEC SLD	06/02/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1975	_U109	TPP100	T4001	125AR/AMB 120/208V/3PH/4W	TTR27	T4001	MULTIFEEDS SEE LEGEND		DWG. T ELEC SLD	06/02/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1960	_U110	TTR27	T4001	30KVA 600>120/208V/3PH/4W	TDIS300	T4001	TPP100	T4001	DWG. T ELEC SLD	06/02/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1947	_U116	TDIS300	T4001	60AR/40AF 347/600V/3PH/4W	BEDP01-BKR04	B1041-1	TTR27	T4001	DWG. T ELEC SLD	06/02/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 40A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'192F	_U109	TPP103	T1028	150AR/AMB 120/208V/3PH/4W	TSDP17-TMB335	T4001	MULTIFEEDS SEE LEGEND		DWG. T ELEC SLD	06/01/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'191A	_U109	TPP102	T1028	150AR/AMB 120/208V/3PH/4W	TSDP17-TMB334	T4001	MULTIFEEDS SEE LEGEND		DWG. T ELEC SLD	06/01/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1905	_U109	TPP101	T1028	150AR/AMB 120/208V/3PH/4W	TSDP17-TMB333	T4001	MULTIFEEDS SEE LEGEND		DWG. T ELEC SLD	06/01/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
