HANDLE	BLOCKNAME	EQUIP-DESIGNATION	EQUIP-LOCATION	EQUIP-ELEC-PROP	PRE-DESIGNATION	PRE-DESIGNATION-LOCATION	NEXT-DESIGNATION	NEXT-DESIGNATION-LOCATION	DWG	DATE	NO._OF_CCT'S	PREVIOUS_ID	EQUIP-DESIG.	EQUIP-LOC	FUSE_INPACITY	FUSE_INPACITY1	MOTOR-HP	EQUIP-ID	EQUIP-LOCATION1	EQUIP-PROPERTIES1
'2D6B	_U97	BSDP12-BKR04	B2042	90AR/AT 120/208V/3PH/4W	BSDP12	B2042	BPP25	B1007-C	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2D56	_U97	BSDP12-BKR03	B2042	90AR/AT 120/208V/3PH/4W	BSDP12	B2042	BPP21	B1005-C	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2D41	_U60	BPP38	B1010	225AR/175AT 0 TO 125VDC	BVC01/BTR12/BDIS36	B1010	MULTIFEEDS SEE LEGEND		DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2D2C	_U60	BVC01	B1010	175AMB 0 TO 125VDC	BTR12/BDIS36	B1010	BPP38	B1010	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2D17	_U59	BTR12	B1010	45kVA 208V>120/208V 3P/4W	BDIS36	B1010	BVC01	B1010	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2D02	_U60	BPP36	B1010	150AR/AF 120/208V/3PH/4W	BDIS35	B1010	MULTIFEEDS SEE LEGEND		DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2CED	_U60	BPP37	B1010	150AR/AF 120/208V/3PH/4W	BDIS34	B1010	MULTIFEEDS SEE LEGEND		DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2CD8	_U113	BDIS34	B1010	20AR/150AF 120/208V/3PH/4W	BSPT07	B1010	BPP37	B1010	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 150A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2CC3	_U113	BDIS35	B1010	200AR/150AF 120/208V/3PH/4W	BSPT07	B1010	BPP36	B1010	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 150A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2CAE	_U113	BDIS36	B1010	200AR/175AF 120/208V/3PH/3W	BSPT07	B1010	BTR12	B1010	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 175A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
