HANDLE	BLOCKNAME	EQUIP-DESIGNATION	EQUIP-LOCATION	EQUIP-ELEC-PROP	PRE-DESIGNATION	PRE-DESIGNATION-LOCATION	NEXT-DESIGNATION	NEXT-DESIGNATION-LOCATION	DWG	DATE	NO._OF_CCT'S	PREVIOUS_ID	EQUIP-DESIG.	EQUIP-LOC	FUSE_INPACITY	FUSE_INPACITY1	MOTOR-HP	EQUIP-ID	EQUIP-LOCATION1	EQUIP-PROPERTIES1
'49F8	*U186	DAC02	D4016	100A/ 347/600V/3PH/4W	DSDP05-DIS07	4016			DWG. D ELEC SLD		# CTT:	PREV. ID#	MMB01	M1019	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'4908	_U116	DSDP05-DIS07	D4016	100AR/80AF 347/600V/3PH/4W	DSDP05	D4016	dac02	D4016	DWG. D ELEC SLD		# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 80A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'3363	_U118	DPP104	D3002-EL	250AR/100AF 120/208V/3PH/4W	DBD03-DIS103	D3005	MULIT FEEDS SEE LEGEND		DWG. D ELEC SLD	05/18/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'334E	_U118	DPP103	D3002-EL	250AR/100AF 120/208V/3PH/4W	DBD03-DIS103	D3005	MULIT FEEDS SEE LEGEND		DWG. D ELEC SLD	05/18/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'3339	_U118	DPP100	D3005-EL	250AR/60AF 120/208V/3PH/4W	DBD03-DIS100	D3005	MULIT FEEDS SEE LEGEND		DWG. D ELEC SLD	05/18/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'3324	_U118	DPP101	D3005-EL	250AR/60AF 120/208V/3PH/4W	DBD03-DIS100	D3005	MULIT FEEDS SEE LEGEND		DWG. D ELEC SLD	05/18/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'330F	_U138	DBD03-DIS103	D3005	100AR/AF 120/208V/3PH/4W	DBD03	D 3RD FLR W	DPP103/DPP104	D3002-EL	DWG. D ELEC SLD	05/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'32FA	_U181	DBD03-DIS100	D3005	100AR/60AF 120/208V/3PH/4W	DBD03	D 3RD FLR W	DPP100/DPP101	D3005-EL	DWG. D ELEC SLD	05/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 60A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'32E5	_U118	DPP29	D1029-1	100AR/AF 120V/3PH/4W	DBD01-DIS29	D1001-3	MULIT FEEDS SEE LEGEND		DWG. D ELEC SLD	05/19/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'32D0	_U118	DPP28	D1016	100AR/AF 120/208V/3PH/4W	DBD01-DIS28	D1016	MULIT FEEDS SEE LEGEND		DWG. D ELEC SLD	05/24/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
