HANDLE	BLOCKNAME	EQUIP-DESIGNATION	EQUIP-LOCATION	EQUIP-ELEC-PROP	PRE-DESIGNATION	PRE-DESIGNATION-LOCATION	NEXT-DESIGNATION	NEXT-DESIGNATION-LOCATION	DWG	DATE	NO._OF_CCT'S	PREVIOUS_ID	EQUIP-DESIG.	EQUIP-LOC	FUSE_INPACITY	FUSE_INPACITY1	MOTOR-HP	EQUIP-ID	EQUIP-LOCATION1	EQUIP-PROPERTIES1
'8BDE	*U148	R3DIS16	R3-1002	200AR/AF/600V/3PH/3W	R3ATS01	R3-1002	R3SPT02	R3-1002	DWG. R1 ELEC SLD	17/08/2011	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'89F8	*U146	R3PP13_SW	R3-1007	100A/208V/3PH/4W	R3SDP01-BKR03	R3-1020	R3PP13	R3-1007	DWG. R1 ELEC SLD		# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'8789	*U139	R3_ELEVATOR_2		40A/575V/3PH/3W	D3DIS21	R3-1017			DWG. R1 ELEC SLD		# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 40	MDIS???	M1000	20A/208V/3PH/4W
'85A0	*U139	R3_ELEVATOR_1		40A/575V/3PH/3W	D3DIS20	R3-1017			DWG. R1 ELEC SLD		# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 40	MDIS???	M1000	20A/208V/3PH/4W
'836A	_U113	R3DIS51	R3-1002	30AR/15AF/600V/3PH/3W	R3SPT02	R3-1002			DWG. R3 ELEC SLD	 17/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 15A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'833C	_U113	R3DIS50	R3-1002	30AR/15AF/600V/3PH/3W	R3SPT02	R3-1002			DWG. R3 ELEC SLD	 17/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 15A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'8266	*U146	R3SF01_SW	R3-7001	60A/208V/3PH/4W	R3DIS09	R3-7001	R3SF01	R3-ROOF	DWG. R1 ELEC SLD		# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'8080	*U146	R3SF02_SW	R3-7001	60A/208V/3PH/4W	R3DIS10	R3-7001	R3SF02	R3-7001	DWG. R1 ELEC SLD		# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'7DD4	*U146	R3AC_UNIT	R3-1020	100A/208V/3PH/4W	R3CU03	R3-1020			DWG. R1 ELEC SLD		# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'7C18	_U75	R3CU03	R3-1020	100AR/AT/120/208V/3PH/4W	R3SDP01	R3-1020	R3AC_UNIT	R3-1020	DWG. R3 ELEC SLD		# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'79F2	*U145	R3PP12	R3-5007	125A/208V/3PH/4W	R3PP12-BKR	R3-5007	MULTIFEEDS SEE LEGEND		DWG. R1 ELEC SLD		# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'778A	*U142	R3-316	R3-2007	100A/208V/3PH/4W	R3SDP02	R3-2007			DWG. R1 SLD	17/08/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'75A4	*U142	R3-319	R3-2007	100A/208V/3PH/4W	R3SDP02	R3-2007			DWG. R1 SLD	17/08/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'73BE	*U142	R3-321	R3-2007	100A/208V/3PH/4W	R3SDP02	R3-2007			DWG. R1 SLD	17/08/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'71D5	*U142	R3-219	R3-2007	100A/208V/3PH/4W	R3SDP02	R3-2007			DWG. R1 SLD	17/08/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'6FEF	*U142	R3-318	R3-2007	100A/208V/3PH/4W	R3SDP02	R3-2007			DWG. R1 SLD	17/08/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'6E09	*U142	R3-221	R3-2007	100A/208V/3PH/4W	R3SDP02	R3-2007			DWG. R1 SLD	17/08/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'6C23	*U142	R3-314	R3-2007	100A/208V/3PH/4W	R3SDP02	R3-2007			DWG. R1 SLD	17/08/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'6A3D	*U142	R3-216	R3-2007	100A/208V/3PH/4W	R3SDP02	R3-2007			DWG. R1 SLD	17/08/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'6857	*U142	R3-315	R3-2007	100A/208V/3PH/4W	R3SDP02	R3-2007			DWG. R1 SLD	17/08/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'6671	*U142	R3-218	R3-2007	100A/208V/3PH/4W	R3SDP02	R3-2007			DWG. R1 SLD	17/08/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'648B	*U142	R3-312	R3-2007	100A/208V/3PH/4W	R3SDP02	R3-2007			DWG. R1 SLD	17/08/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'62A5	*U142	R3-215	R3-2007	100A/208V/3PH/4W	R3SDP02	R3-2007			DWG. R1 SLD	17/08/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'60BF	*U142	R3-217	R3-2007	100A/208V/3PH/4W	R3SDP02	R3-2007			DWG. R1 SLD	17/08/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'4E63	*U142	R3PP12-BKR	R3-5007	125A/208V/3PH/4W	R3SDP03	R3-5007	RSPP12	R3-5007	DWG. R1 ELEC SLD		# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'4C7D	*U142	R3-417	R3-5007	100A/208V/3PH/4W	R3SDP03	R3-5007			DWG. R1 SLD	17/08/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'4A97	*U142	R3-415	R3-5007	100A/208V/3PH/4W	R3SDP03	R3-5007			DWG. R1 SLD	17/08/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'48B1	*U142	R3-414	R3-5007	100A/208V/3PH/4W	R3SDP03	R3-5007			DWG. R1 SLD	17/08/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'46CB	*U142	R3-421	R3-5007	100A/208V/3PH/4W	R3SDP03	R3-5007			DWG. R1 SLD	17/08/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'44E5	*U142	R3-619	R3-5007	100A/208V/3PH/4W	R3SDP03	R3-5007			DWG. R1 SLD	17/08/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'42FF	*U142	R3-621	R3-5007	100A/208V/3PH/4W	R3SDP03	R3-5007			DWG. R1 SLD	17/08/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'4054	*U142	R3-615	R3-5007	100A/208V/3PH/4W	R3SDP03	R3-5007			DWG. R1 SLD	17/08/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'3E6E	*U142	R3-614	R3-5007	100A/208V/3PH/4W	R3SDP03	R3-5007			DWG. R1 SLD	17/08/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'3C88	*U142	R3-514	R3-5007	100A/208V/3PH/4W	R3SDP03	R3-5007			DWG. R1 SLD	17/08/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'3AA2	*U142	R3-515	R3-5007	100A/208V/3PH/4W	R3SDP03	R3-5007			DWG. R1 SLD	17/08/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'38BC	*U142	R3-521	R3-5007	100A/208V/3PH/4W	R3SDP03	R3-5007			DWG. R1 SLD	17/08/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'36D6	*U142	R3-519	R3-5007	100A/208V/3PH/4W	R3SDP03	R3-5007			DWG. R1 SLD	17/08/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'34F0	*U142	R3-418	R3-5007	100A/208V/3PH/4W	R3SDP03	R3-5007			DWG. R1 SLD	17/08/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'3305	*U140	R3ATS02-FIREPUMP	 R3-1023	30A/600V/3PH/3W	R3ATS02	 R3-1023			DWG. R1 ELEC SLD		# CTT:	PREV. ID#	R3SDP02	R3-2007	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'2E66	*U142	R3-416	R3-5007	100A/208V/3PH/4W	R3SDP03	R3-5007			DWG. R1 SLD	17/08/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'2BAB	*U143	R3ATS02-FIREPUMP	 R3-1023	30A/600V/3PH/3W	R3ATS02	 R3-1023			DWG. R1 ELEC SLD		# CTT:	PREV. ID#	R3SDP03	R3-5007	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'2847	*U139	R3ATS02-FIREPUMP	 R3-1023	30A/600V/3PH/3W	R3ATS02	 R3-1023			DWG. R1 ELEC SLD	 17/08/2011	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A	HP: 30	MDIS???	M1000	20A/208V/3PH/4W
'2691	_U123	DLP01	D1022	200AR/100AT 600V/3PH/4W	DMB42	D1022	MULTI FEEDS SEE LEGEND		DWG. D ELEC SLD	03/28/2011	# CCT:N/A	PREV. ID: (1D0)	R3ATS02	R3-1023	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'267C	_U122	R3ATS02	R3-1023	100AR/AF/600V/3PH/3W	R3DIS16	R3-1002	R3-EMERG FEED	R3-1023	DWG. R3 ELEC SLD	 17/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 200A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2667	_U124	R3ATS02	R3-1023	100AR/AF/600V/3PH/3W	R3MB02	R3-1020	R3-NORMAL FEED	R3-1023	DWG. R3 ELEC SLD	 17/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 200A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1F75	_U113	R3DIS31	   R3-7001	30AR/15AF  600V  3PH  3W	R3SPT03	   R3-7001	R3EF08	   R3-7001	DWG. R3 ELEC SLD	 17/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 15A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1F60	_U113	R3DIS29	   R3-7001	30AR/15AF  600V  3PH  3W	R3SPT03	   R3-7001	R3CH01-PUMP01	   R3-7001	DWG. R3 ELEC SLD	 17/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 15A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1F4B	_U113	R3DIS16	   R3-7001	30AR/15AF  600V  3PH  3W	R3SPT03	   R3-7001	R3DHWR-PUMP01	   R3-7001	DWG. R3 ELEC SLD	 17/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 15A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1F36	_U113	R3DIS12	   R3-7001	30AR/15AF  600V  3PH  3W	R3SPT03	   R3-7001	R3EF10	   R3-ROOF	DWG. R3 ELEC SLD	 17/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 15A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1F21	_U113	R3DIS11	   R3-7001	60AR/50AF  600V  3PH  3W	R3SPT03	   R3-7001	R3SF03	   R3-ROOF	DWG. R3 ELEC SLD	 17/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 50A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1F0C	_U113	R3DIS10	   R3-7001	60AR/60AF  600V  3PH  3W	R3SPT03	   R3-7001	R3SF02	   R3-7001	DWG. R3 ELEC SLD	 17/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 60A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1EF7	_U113	R3DIS09	   R3-7001	100AR/70AF  600V  3PH  3W	R3SPT03	   R3-7001	R3SF01	   R3-ROOF	DWG. R3 ELEC SLD	 17/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 70A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1EE2	_U113	R3DIS08	   R3-7001	60AR/25AF  600V  3PH  3W	R3SPT03	   R3-7001	R3CH01-CU02	   R3-ROOF	DWG. R3 ELEC SLD	 17/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 25A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1ECD	_U113	R3DIS07	   R3-7001	60AR/25AF  600V  3PH  3W	R3SPT03	   R3-7001	R3CH01-CU01	   R3-ROOF	DWG. R3 ELEC SLD	 17/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 25A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1EB8	_U113	R3DIS06	   R3-7001	30AR/15AF  600V  3PH  3W	R3SPT03	   R3-7001	R3BLR03-PUMP03	   R3-7000	DWG. R3 ELEC SLD	 17/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 15A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1EA3	_U113	R3DIS05	   R3-7001	30AR/15AF  600V  3PH  3W	R3SPT03	   R3-7001	R3BLR02-PUMP02	   R3-7000	DWG. R3 ELEC SLD	 17/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 15A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1E8E	_U113	R3DIS04	   R3-7001	30AR/15AF  600V  3PH  3W	R3SPT03	   R3-7001	R3BLR01-PUMP01	   R3-7000	DWG. R3 ELEC SLD	 17/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 15A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1E79	_U113	R3DIS03	   R3-7001	30AR/15AF  600V  3PH  3W	R3SPT03	   R3-7001	R3SF04	   R3-ROOF	DWG. R3 ELEC SLD	 17/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 15A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1E64	_U113	R3DIS01	R3-7001	600AR/400AF/600V/3PH/3W	R3MB10	R3-1020	R3CH01	R3-7001	DWG. R3 ELEC SLD	 30/11/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 400A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1E4F	_U107	R3PP01	R3-1020	225AR/200AF/347/600V/3PH/4W	R3MB16	R3-1020	MULTIFEEDS SEE LEGEND		DWG. R3 ELEC SLD	 17/08/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1E3A	_U75	R3MB16	R3-1020	200AR/AT/347/600V/3PH/4W	R3MDP01	R3-1020	R3PP01	R3-1020	DWG. R3 ELEC SLD	 17/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1E25	_U75	R3MB10	R3-1020	400AR/AT/600V/3PH/3W	R3MDP01	R3-1020	R3DIS01	R3-7001	DWG. R3 ELEC SLD	 17/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1E0C	_U252	R3MB09	R3-1020	400AR/AT/600V/3PH/3W	R3MDP01	R3-1020	R3SPT03	R3-7001	DWG. R3 ELEC SLD	 17/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1DF7	_U250	DLP01	D1022	200AR/100AT 600V/3PH/4W	DMB42	D1022	MULTI FEEDS SEE LEGEND		DWG. D ELEC SLD	03/28/2011	# CCT:N/A	PREV. ID: (1D0)	R3SPT03	R3-7001	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1DE2	_U113	R3DIS02	   R3-7001	60AR/40AF  600V  3PH  3W	R3SPT03	   R3-7001	R3TR06	   R3-7001	DWG. R3 ELEC SLD	 17/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 40A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1DC9	_U107	R3PP17	   R3-7001	250AR/100AF 120/208V 3PH 4W	R3PP02-CCT 7/9/11	   R3-1002	MULTIFEEDS SEE LEGEND		DWG. R3 ELEC SLD	 17/08/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 60A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1DB4	_U107	R3PP09	   R3-2002	250AR/100AF 120/208V 3PH 4W	R3PP02-CCT 2/4/6	   R3-1002	MULTIFEEDS SEE LEGEND		DWG. R3 ELEC SLD	 17/08/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 60A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1D9F	_U107	R3PP10	   R3-5002	250AR/100AF 120/208V 3PH 4W	R3PP02-CCT 2/4/6	   R3-1002	MULTIFEEDS SEE LEGEND		DWG. R3 ELEC SLD	 17/08/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 60A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1D88	_U75	R3PP02-CCT 1/3/5	   R3-1002	100AR/AT/120/208V/3PH/4W	R3PP02	   R3-1002	R3PP03	   R3-1020	DWG. R3 ELEC SLD	 17/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1D73	_U75	R3PP02-CCT 2/4/6	   R3-1002	100AR/AT/120/208V/3PH/4W	R3PP02	   R3-1002	R3PP09/R3PP10 R3	-2002/R3-5002	DWG. R3 ELEC SLD	 17/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1D5E	_U107	R3PP03	   R3-1020	250AR/100AF 120/208V 3PH 4W	R3PP02-CCT 1/3/5	   R3-1002	MULTIFEEDS SEE LEGEND		DWG. R3 ELEC SLD	 17/08/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 60A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
