HANDLE	BLOCKNAME	EQUIP-DESIGNATION	EQUIP-LOCATION	EQUIP-ELEC-PROP	PRE-DESIGNATION	PRE-DESIGNATION-LOCATION	NEXT-DESIGNATION	NEXT-DESIGNATION-LOCATION	DWG	DATE	NO._OF_CCT'S	PREVIOUS_ID	EQUIP-DESIG.	EQUIP-LOC	FUSE_INPACITY	FUSE_INPACITY1	MOTOR-HP	EQUIP-ID	EQUIP-LOCATION1	EQUIP-PROPERTIES1
'AD8C	*U139	R2-619	R2_5002	100A/208V/3PH/4W	R2SDP03	R2_5002			DWG. R1 SLD	19/10/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A		MDIS???	M1000	20A/208V/3PH/4W
'949C	*U139	R2-618	R2_5002	100A/208V/3PH/4W	R2SDP03	R2_5002			DWG. R1 SLD	19/10/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A		MDIS???	M1000	20A/208V/3PH/4W
'92B3	*U139	R2-617	R2_5002	100A/208V/3PH/4W	R2SDP03	R2_5002			DWG. R1 SLD	19/10/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A		MDIS???	M1000	20A/208V/3PH/4W
'90CD	*U139	R2-616	R2_5002	100A/208V/3PH/4W	R2SDP03	R2_5002			DWG. R1 SLD	19/10/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A		MDIS???	M1000	20A/208V/3PH/4W
'8EE7	*U139	R2-615	R2_5002	100A/208V/3PH/4W	R2SDP03	R2_5002			DWG. R1 SLD	19/10/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A		MDIS???	M1000	20A/208V/3PH/4W
'8D01	*U139	R2-614	R2_5002	100A/208V/3PH/4W	R2SDP03	R2_5002			DWG. R1 SLD	19/10/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A		MDIS???	M1000	20A/208V/3PH/4W
'8B1B	*U139	R2-519	R2_5002	100A/208V/3PH/4W	R2SDP03	R2_5002			DWG. R1 SLD	19/10/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A		MDIS???	M1000	20A/208V/3PH/4W
'8935	*U139	R2-518	R2_5002	100A/208V/3PH/4W	R2SDP03	R2_5002			DWG. R1 SLD	19/10/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A		MDIS???	M1000	20A/208V/3PH/4W
'874F	*U139	R2-517	R2_5002	100A/208V/3PH/4W	R2SDP03	R2_5002			DWG. R1 SLD	19/10/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A		MDIS???	M1000	20A/208V/3PH/4W
'8569	*U139	R2-516	R2_5002	100A/208V/3PH/4W	R2SDP03	R2_5002			DWG. R1 SLD	19/10/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A		MDIS???	M1000	20A/208V/3PH/4W
'8383	*U139	R2-515	R2_5002	100A/208V/3PH/4W	R2SDP03	R2_5002			DWG. R1 SLD	19/10/11	# CTT:	PREV. ID#	R1SPT03	R7001	In: 0A	In: 0A		MDIS???	M1000	20A/208V/3PH/4W
