EQUIP-DESIGNATION,EQUIP-LOCATION,EQUIP-ELEC-PROP
CTR03,C1034,45KvA/600>120/208V/3PH/4W
CMB14,C1034,225AR/AT/600V/3PH/3W
CPP02-BKR08,C1034,20A/600V/3PH/3W
CPP02-BKR02,C1034,40A/600V/3PH/3W
CATS01,C1036-4,60A/347/600V/2PH/4W
CPP01-CCT37/39/41,C1036-4,60AR/AT347/600V/3PH/4W
CEP02,C1036-4,225A120/208V/3PH/4W
CEP01,C1036-4,225A120/208V/3PH/4W
CTR01,C1036-4,45KVA600>120/208V/3PH/4W
CMB09,C1036-4,200A347/600V/3PH/4W
CMB03,C1036-4,60A600V/3PH/3W
CMB01,C1036-4,1200A/347/600V/3PH/4W
CMB02,C1036-4,600A347/600V/3PH/4W
CDIS02,C1036-4E,30AR/15AF/347/600V/3PH/4W
CDIS01,C1036-4E,60AR/AF/347/600V/3PH/4W
CATS01,C1036-4E,60A/347/600V/3PH/4W
CEDIS02,C2001,600AR/AT120/208V/3PH/4W
CEDIS01,C2001,100AR/AT120/208V/3PH/4W
CLP02,C2001,60AR/AT/120/208V/3PH/4W
CPP25,C2001,100AR/70AT120/208V/3PH/4W
CTR09,C2001E,45KvA600>120/208V/3PH/4W
CDIS03,C2001E,60AR/NF/347/600V/3PH/3W
CPP30,C2002,100AT120/208V/3PH/4W
CPP29,C2002,100AT120/208V/3PH/4W
CPP28,C2002,100120/208V/3PH/4W
CPP27-CCT18/20,C2014,70AR/AT120/208V/3PH/4W
CPP27-BKR05,C2014,150AR/AT120/208V/3PH/4W
CPP27-BKR04,C2014,70AR/AT120/208V/3PH/4W
CPP27-BKR03,C2014,125AR/AT120/208V/3PH/4W
CPP27-BKR02,C2014,150AR/AT120/208V/3PH/4W
CPP27-BKR01,C2014,175AR/AT120/208V/3PH/4W
CTR11(NN),C2014,115.5KvA/600>120/208V/3PH/4W
CPP26-BKR09,C2014,40AR/AT347/600V/3PH/3W
CPP26-BKR01,C2014,125AR/AT347/600V/3PH/3W
CPP24,C2015,400AR/120/208V/3PH/4W
CPP24,C2015,400AR/120/208V/3PH/4W
CPP24-BKR06,C2015,100AR/AT120/208V/3PH/4W
CPP24-BKR04,C2015,150AR/AT120/208V/3PH/4W
CPP24-BKR03,C2015,70AR/AT120/208V/3PH/4W
CPP24-BKR02,C2015,125AR/AT120/208V/3PH/4W
CPP24-BKR01,C2015,125AR/AT120/208V/3PH/4W
CPP24,C2015,400AR/120/208V/3PH/4W
CTR10,C2015,75KvA/600>120/208V/3PH/4W
CPP23-BKR01,C2015,90AR/AT347/600V/3PH/3W
CPP23,C2015,225AR/150AT600V/3PH/3W
CPP20-CCT15/17/19,C2016,100AR/AT120/208V/3PH/4W
CPP20,C2016,225AR/120/208V/3PH/4W
CPP20-CCT1/3/5,C2016,100AR/AT120/208V/3PH/4W
CTR07(RR),C2016,30KvA/600>120/208V/3PH/4W
CSDP01-BKR08,C2016,40AR/AT347/600V/3PH/3W
CSDP01-BKR07,C2016,90AR/AT347/600V/3PH/3W
CSDP01-BKR06,C2016,225AR/AT347/600V/3PH/3W
CSDP01-BKR05,C2016,175AR/AT347/600V/3PH/3W
CSDP01-BKR02,C2016,150AR/AT347/600V/3PH/3W
CSDP01-BKR01,C2016,175AR/AT347/600V/3PH/3W
CPP22,C2017,225AR120/208V/3PH/4W
CPP22,C2017,225AR120/208V/3PH/4W
CPP22,C2017,225AR120/208V/3PH/4W
CPP22,C2017,225AR120/208V/3PH/4W
CPP22,C2017,225AR120/208V/3PH/4W
CPP22,C2017,225AR120/208V/3PH/4W
CPP22,C2017,225AR120/208V/3PH/4W
