HANDLE	BLOCKNAME	EQUIP-DESIGNATION	EQUIP-LOCATION	EQUIP-ELEC-PROP	PRE-DESIGNATION	PRE-DESIGNATION-LOCATION	NEXT-DESIGNATION	NEXT-DESIGNATION-LOCATION	DWG	DATE	NO._OF_CCT'S	PREVIOUS_ID	EQUIP-DESIG.	EQUIP-LOC	FUSE_INPACITY	FUSE_INPACITY1	MOTOR-HP	EQUIP-ID	EQUIP-LOCATION1	EQUIP-PROPERTIES1
'9692	_U38	DMB08	D1022	200A 600V/3PH/4W	DMDP01	D1022			DWG. D ELEC SLD	03/28/11	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'952A	*U203	ELEVATOR_D1019-1_LD	     D1019-1	42A/575V/90PF/3460rpm/78.5%eff	DELEVSDIS01	D1019-1			DWG. D ELEC SLD		# CTT:	PREV. ID#	PCCNTR	D1022	In: 0A	In: 0A	40HP	MDIS???	M1000	20A/208V/3PH/4W
'9234	*U202	MMB01	M1019	150A/600V/3PH/3W	MSDP05	M1019	MDIS05	M1002	DWG.#	  /  /	# CTT:	PREV. ID#	DEDP02	D1022	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'904E	*U201	EDIS102	D2036-1	100A/600V/3PH/4W	EDIS101	D2018-EL			DWG. D ELEC SLD	03/28/11	# CTT:	PREV. ID#	DEDP04	D1022	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'8DA3	*U201	EDIS101	D2018-EL	100A/600V/3PH/4W	DEDP04-04	D1022	EDIS102	D2036-1	DWG. D ELEC SLD	03/28/11	# CTT:	PREV. ID#	DEDP04	D1022	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'8ADD	*U199	DEDP04-06	D1022	100A/600V/3PH/4W	DEDP04	D1022	D2010SPT01	D2010-2	DWG. D ELEC SLD	03/28/11	# CTT:	PREV. ID#	DEDP04	D1022	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'88F7	*U199	DEDP04-05	D1022	100A/600V/3PH/4W	DEDP04	D1022			DWG. D ELEC SLD	03/28/11	# CTT:	PREV. ID#	DEDP04	D1022	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'8711	*U199	DEDP04-04	D1022	100A/600V/3PH/4W	DEDP04	D1022	EDIS101	D2018-EL	DWG. D ELEC SLD	03/28/11	# CTT:	PREV. ID#	DEDP04	D1022	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'852B	*U199	DEDP04-02	D1022	200A/600V/3PH/4W	DEDP04	D1022	DEDP02	D1022	DWG. D ELEC SLD	03/28/11	# CTT:	PREV. ID#	DEDP04	D1022	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'8280	*U199	DEDP04-01	D1022	200A/600V/3PH/4W	DEDP04	D1022	D4009SPT01	D4009	DWG. D ELEC SLD	03/28/11	# CTT:	PREV. ID#	DEDP04	D1022	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'8085	*U200	MMB01	M1019	150A/600V/3PH/3W	MSDP05	M1019	MDIS05	M1002	DWG.#	  /  /	# CTT:	PREV. ID#	DEDP04	D1022	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'7D48	*U197	DHP33	D2040	100A 347/600V/3P/4W	DDIS_GC	D2040			DWG. D ELEC SLD	05/25/2011	# CTT:	PREV. ID#	MMB01	M1019	In: 0A	In: 0A	40HP	MDIS???	M1000	20A/208V/3PH/4W
'7B79	*U191	DHP33	D2040	36.8A/575V/1775rpm/94.5%eff/86PF	DDIS_HP33	D2040			DWG. D ELEC SLD	05/25/2011	# CTT:	PREV. ID#	MMB01	M1019	In: 0A	In: 0A	40HP	MDIS???	M1000	20A/208V/3PH/4W
'79AD	*U191	DHP34	D2040	36.8A/575V/1775rpm/94.5%eff/86PF	DDIS_HP34	D2040			DWG. D ELEC SLD	05/25/2011	# CTT:	PREV. ID#	MMB01	M1019	In: 0A	In: 0A	40HP	MDIS???	M1000	20A/208V/3PH/4W
'77C1	_U142	DDIS_GC	D2040	100AR/AF 347/600V/3PH/4W	DMCC01	D2040	GC	D2040	DWG. D ELEC SLD	05/25/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'7793	_U142	DDIS_HP33	D2040	80AR/AF 347/600V/3PH/4W	DMCC01	D2040	DHP33	D2040	DWG. D ELEC SLD	05/25/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 80A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'7765	_U142	DDIS_HP34	D2040	80AR/AF 347/600V/3PH/4W	DMCC01	D2040	DHP34	D2040	DWG. D ELEC SLD	05/25/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 80A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'75C5	*U196	ELEVATOR_D1019-1_LD	     D1019-1	42A/575V/90PF/3460rpm/78.5%eff	DELEVSDIS01	D1019-1			DWG. D ELEC SLD		# CTT:	PREV. ID#	DMCC01	D2040	In: 0A	In: 0A	40HP	MDIS???	M1000	20A/208V/3PH/4W
'72B1	*U195	DHTG_PUMP01_LD	D2040	50.5A/575V/1760rpm/90.2%eff/83PF	DHTG_PUMP01	D2040			DWG. C ELEC SLD	05/25/2011	# CTT:	PREV. ID#	CSPT06	C2002	In: 60A	In: 90A	HP: 50	MDIS???	M1000	20A/208V/3PH/4W
'6FF8	_U81	DDIS11	D1022	100AR/30AF  120/208V/3PH/4W	DMDP02	D1022			DWG. D ELEC SLD	03/28/11	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 30A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'6FC3	_U42	DPP03#2	D1024	225AR/200AF 120/208V/3PH/4W	DDIS03	D1022	MULTI FEEDS SEE LEGEND		DWG. D ELEC SLD	03/29/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'6EE3	*U191	DCWP36_LD	     D2040	46A/575V/94.1%eff	DCWP36	D2040			DWG. D ELEC SLD	05/25/2011	# CTT:	PREV. ID#	MMB01	M1019	In: 0A	In: 0A	50HP	MDIS???	M1000	20A/208V/3PH/4W
'6D17	*U191	DCWP35_LD	     D2040	46A/575V/94.1%eff	DCWP35	D2040			DWG. D ELEC SLD	05/25/2011	# CTT:	PREV. ID#	MMB01	M1019	In: 0A	In: 0A	50HP	MDIS???	M1000	20A/208V/3PH/4W
'6B70	_U110	DCT-01	D2040	100A/600V/3PH/4W	DSPT12	D2040	DCT-01_LD	D2040	DWG. D ELEC SLD	05/25/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'6B42	_U110	DCWP36	D2040	100A/600V/3PH/4W	DSPT12	D2040	DCWP36_LD	D2040	DWG. D ELEC SLD	05/25/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 90A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'624C	_U83	D_COND_P100_BRK	D2040	60AR/AT 347/600V/3PH/4W	DSPT12	D2040	D_COND_P100_LD	D2040	DWG. D ELEC SLD	05/25/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'621E	_U83	D_COND_P99_BRK	D2040	60AR/AT 347/600V/3PH/4W	DSPT12	D2040	D_COND_P99_LD	D2040	DWG. D ELEC SLD	05/25/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'5D67	_U110	DCWP35	D2040	100A/600V/3PH/4W	DSPT12	D2040	DCWP35_LD	D2040	DWG. D ELEC SLD	05/25/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 90A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'5CDD	_U83	D_COND_P98_BRK	D2040	60AR/AT 347/600V/3PH/4W	DSPT12	D2040	D_COND_P98_LD	D2040	DWG. D ELEC SLD	05/25/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'5B49	*U194	MMB01	M1019	150A/600V/3PH/3W	MSDP05	M1019	MDIS05	M1002	DWG.#	  /  /	# CTT:	PREV. ID#	DSPT12	D2040	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'5540	*U192	DDIS17	D1026-MEZZ	100AR/40AF 600V/3P/4W	DSPT10	D1026-MEZZ			DWG. D ELEC SLD	03/29/11	# CTT:	PREV. ID#	MMB01	M1019	In: 40A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'5301	*U192	DDIS-16/19/20	 D1026-MEZZ	100AR/20AF 600V/3P/4W	DSPT10	 D1026-MEZZ			DWG. D ELEC SLD	03/29/11	# CTT:	PREV. ID#	MMB01	M1019	In: 20A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'52E8	_U38	DMB37	D1022	1000AR/800AT 600V/3PH/4W	DMDP01	D1022	FMB01	F4001	DWG. D ELEC SLD	03/28/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'5256	_U42	DPP15	D1026	225AR 120/208V/3PH/4W	DTR07/DDIS18	D1026	MULTI FEEDS SEE LEGEND		DWG. D ELEC SLD	03/28/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'5241	_U40	DTR07	D1026-MEZZ	75KVA/600/120/208V/3PH/4W	DDIS18	D1026-MEZZ	DPP15	D1026	DWG. D ELEC SLD	03/29/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'522C	_U95	DDIS18	D1026-MEZZ	100AR/AF 600V/3PH/4W	DSPT10	D1026-MEZZ	DTR07	D1026-MEZZ	DWG. D ELEC SLD	03/29/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'5214	_U140	DLP01	D1022	200AR/100AT 600V/3PH/4W	DMB42	D1022	MULTI FEEDS SEE LEGEND		DWG. D ELEC SLD	03/28/2011	# CCT:N/A	PREV. ID: (1D0)	DSPT10	D1026-MEZZ	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'51FF	_U79	DMB48	D1022	250AR/200AT 600V/3PH/4W	DMDP01	D1022	DSPT10	D1026-M	DWG. D ELEC SLD	03/28/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'5005	*U191	ELEVATOR_D1019-1_LD	     D1019-1	42A/575V/90PF/3460rpm/78.5%eff	DELEVSDIS01	D1019-1			03/28/11		# CTT:	PREV. ID#	MMB01	M1019	In: 0A	In: 0A	40HP	MDIS???	M1000	20A/208V/3PH/4W
'33A2	_U112	DLP01	D1022	200AR/100AT 600V/3PH/4W	DMB42	D1022	MULTI FEEDS SEE LEGEND		DWG. D ELEC SLD	03/28/2011	# CCT:N/A	PREV. ID: (1D0)	DSDP01	D4009	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2D9A	_U112	DLP01	D1022	200AR/100AT 600V/3PH/4W	DMB42	D1022	MULTI FEEDS SEE LEGEND		DWG. D ELEC SLD	03/28/2011	# CCT:N/A	PREV. ID: (1D0)	DSDP05	D4016	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2D82	_U178	DMB05	D4011	600AR/AT 347/600V/3PH/4W	DMB02	D1022	DSDP05	D4016	DWG. D ELEC SLD	05/17/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2D6D	_U38	DMB02	D1022	2000AR/AT 347/600V/3PH/4W	DMDP01	D1022	DMB05/DSDPO1	D4011/D4009	DWG. D ELEC SLD	03/28/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2D58	_U111	DMB21	D1022	400AR/AT 347/600V/3PH/4W	DMDP01	D1022	LMDP01	L1003-16	DWG. D ELEC SLD	03/28/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2D43	_U38	DMB19	D1022	800AR/AT 347/600V/3PH/4W	DMDP01	D1022	SUBDIS01	SUB2001	DWG. D ELEC SLD	03/28/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2CD5	_U42	DLP20	D1042-E	100AR/AT 347/600V/3PH/4W	DMB74	D1022	MULTI FEEDS SEE LEGEND		DWG. D ELEC SLD	05/19/2011	# CCT:N/A	PREV. ID: (EM1)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2CBC	_U143	DLP24	D3015-E	100AR/70AT 347/600V/3PH/4W	DMB71	D1022	MULTI FEEDS SEE LEGEND		DWG. D ELEC SLD	05/19/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
