HANDLE	BLOCKNAME	EQUIP-DESIGNATION	EQUIP-LOCATION	EQUIP-ELEC-PROP	PRE-DESIGNATION	PRE-DESIGNATION-LOCATION	NEXT-DESIGNATION	NEXT-DESIGNATION-LOCATION	DWG	DATE	NO._OF_CCT'S	PREVIOUS_ID	EQUIP-DESIG.	EQUIP-LOC	FUSE_INPACITY	FUSE_INPACITY1	MOTOR-HP	EQUIP-ID	EQUIP-LOCATION1	EQUIP-PROPERTIES1
'2A85	_U109	HPP12-BKR	H2031-EL	225AR/AT/120/208V/3PH/4W	HSPT07	H2031-EL	HPP12	H3022-E	DWG. H ELEC SLD	28/07/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2A70	_U109	HPP11-BKR	H2031-EL	225AR/AT/120/208V/3PH/4W	HSPT07	H2031-EL	HPP11	H3022-E	DWG. H ELEC SLD	28/07/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2A5B	_U109	HEP09-BKR	H2031-EL	225AR/AT/120/208V/3PH/4W	HSPT07	H2031-EL	HEP09	H3022-E	DWG. H ELEC SLD	28/07/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2A46	_U109	HPP10-BKR	H1033-EL	225AR/AT/120/208V/3PH/4W	HSPT06	H1033-EL	HPP10	H3022-E	DWG. H ELEC SLD	28/07/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2A31	_U109	HPP09-BKR	H1033-EL	225AR/AT/120/208V/3PH/4W	HSPT06	H1033-EL	HPP09	H3022-E	DWG. H ELEC SLD	28/07/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2A1C	_U109	HEP08-BKR	H1033-EL	225AR/AT/120/208V/3PH/4W	HSPT06	H1033-EL	HEP08	H3022-E	DWG. H ELEC SLD	28/07/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2A07	_U109	HPP08-BKR	H3027-EL	225AR/AT/120/208V/3PH/4W	HSPT05	H3027-EL	HPP08	H3022-E	DWG. H ELEC SLD	28/07/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'29F2	_U109	HPP07-BKR	H3027-EL	225AR/AT/120/208V/3PH/4W	HSPT05	H3027-EL	HPP07	H3022-E	DWG. H ELEC SLD	28/07/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'29DD	_U109	HEP07-BKR	H3027-EL	225AR/AT/120/208V/3PH/4W	HSPT05	H3027-EL	HEP07	H3022-E	DWG. H ELEC SLD	28/07/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2904	_U109	HPP04-BKR	H2003-EL	225AR/AT/120/208V/3PH/4W	HSPT04	H2003-EL	HPP04	H2003-EL	DWG. H ELEC SLD	28/07/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
