HANDLE	BLOCKNAME	EQUIP-DESIGNATION	EQUIP-LOCATION	EQUIP-ELEC-PROP	PRE-DESIGNATION	PRE-DESIGNATION-LOCATION	NEXT-DESIGNATION	NEXT-DESIGNATION-LOCATION	DWG	DATE	NO._OF_CCT'S	PREVIOUS_ID	EQUIP-DESIG.	EQUIP-LOC	FUSE_INPACITY	FUSE_INPACITY1	MOTOR-HP	EQUIP-ID	EQUIP-LOCATION1	EQUIP-PROPERTIES1
'1D8F	_U134	LPP01#1	L1003-16	225AR/100AF/208V/3PH/4W	LDIS14	L1003-16	MULTIFEEDS SEE LEGEND		DWG. L ELEC SLD	25/07/2011	# CCT:N/A	PREV. ID: (PANEL A)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'176B	_U127	L ELEVATOR DISC	L4003-2	30AR/AF/347/600V/3PH/3W	LEDP01-CCT 1/3/5	L1003-16	L ELEVATOR	L4003-2	DWG. L ELEC SLD	25/07/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 30A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1756	_U151	LEDP01-CCT1/3/5	L1003-16 E	50AR/AT/347/600V/3PH/3W	LEDP01	L1003-16	L ELEVATOR	L4003-2	DWG. L ELEC SLD	25/07/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 200A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1741	_U134	LPP06	L1003-16 E	225AR/208V/3PH/4W	LTR02/LEDP01-CCT2/4/6	      L1003-16	MULTIFEEDS SEE LEGEND		DWG. L ELEC SLD	25/07/2011	# CCT:N/A	PREV. ID: (PANEL EM-7)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'172C	_U140	LTR02	L1003-16 E	15KVA/600>120/208V/3PH/4W	LEDP01-CCT2/4/6	L1003-16	LPP06	L1003-16	DWG. L ELEC SLD	25/07/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1716	_U152	LEDP01-CCT2/4/6	L1003-16 E	15AR/AT/347/600V/3PH/4W	LEDP01	L1003-16	LTR02	L1003-16	DWG. L ELEC SLD	25/07/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 200A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'16FA	_U146	DLP01	D1022	200AR/100AT 600V/3PH/4W	DMB42	D1022	MULTI FEEDS SEE LEGEND		DWG. D ELEC SLD	03/28/2011	# CCT:N/A	PREV. ID: (1D0)	LEDP01	L1003-16 E	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'16E4	_U134	LPP11	L3003-3	225AR/100AMB/100AT/208V/3PH/4W	LDIS15	L1003-16	MULTIFEEDS SEE LEGEND		DWG. L ELEC SLD	25/07/2011	# CCT:N/A	PREV. ID: (PANEL G)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'16CF	_U134	LPP07	L1003-3	225AR/60AF/208V/3PH/4W	LDIS21	L1003-16	MULTIFEEDS SEE LEGEND		DWG. L ELEC SLD	25/07/2011	# CCT:N/A	PREV. ID: (PANEL J)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'16BA	_U134	LLP01	L1003-16	225AR/60AF/208V/3PH/4W	LDIS19	L1003-16	MULTIFEEDS SEE LEGEND		DWG. L ELEC SLD	25/07/2011	# CCT:N/A	PREV. ID: (PANEL H)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'16A5	_U134	LPP04	L1003-16	225AR/60AF/208V/3PH/4W	LDIS22	L1003-16	MULTIFEEDS SEE LEGEND		DWG. L ELEC SLD	25/07/2011	# CCT:N/A	PREV. ID: (PANEL K)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1690	_U134	LPP08	L2003-3	225AR/100AMB/60AF/208V/3PH/4W	LDIS20	L1003-16	MULTIFEEDS SEE LEGEND		DWG. L ELEC SLD	25/07/2011	# CCT:N/A	PREV. ID: (PANEL D)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'167B	_U134	LPP09	L2003-3	225AR/100AMB/100AF/208V/3PH/4W	LDIS15	L1003-16	MULTIFEEDS SEE LEGEND		DWG. L ELEC SLD	25/07/2011	# CCT:N/A	PREV. ID: (PANEL F)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1666	_U134	LPP12	L2005-2	225AR/100AF/208V/3PH/4W	LDIS25	L1003-16	MULTIFEEDS SEE LEGEND		DWG. L ELEC SLD	25/07/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
