HANDLE	BLOCKNAME	EQUIP-DESIGNATION	EQUIP-LOCATION	EQUIP-ELEC-PROP	PRE-DESIGNATION	PRE-DESIGNATION-LOCATION	NEXT-DESIGNATION	NEXT-DESIGNATION-LOCATION	DWG	DATE	NO._OF_CCT'S	PREVIOUS_ID	EQUIP-DESIG.	EQUIP-LOC	FUSE_INPACITY	FUSE_INPACITY1	MOTOR-HP	EQUIP-ID	EQUIP-LOCATION1	EQUIP-PROPERTIES1
'250F	*U126	JCT01	J3001	100A/600V/3PH/3W	JMS12	J3001			15/08/2011		# CTT:	PREV. ID#	MMB01	M1019	In: 70A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'22A9	*U126	JMS12	J3001	100A/600V/3PH/3W	JMCC01	J3001	JCT01	J3001	DWG. J ELEC SLD	15/08/2011	# CTT:	PREV. ID#	MMB01	M1019	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1B7E	_U124	JSS01	J SITE				JMB01	J1038-1	DWG. J ELEC SLD	 15/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1B63	_U123	JPP11	J1016	225AR/100AF/120/208V/3PH/4W	JDIS36	J2013	MULTI FEEDS SEE LEGEND		DWG. J ELEC SLD	15/08/2011	# CCT:N/A	PREV. ID: (N/A)	JSPT10	J1015-3	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1B44	_U107	JSDP03	J2005	225AR/AF/347/600V/3PH/4W	JSDP02-BKR09	J2013	MULTI FEEDS SEE LEGEND		DWG. J ELEC SLD	15/08/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1B2C	_U119	JPP11	J1016	225AR/100AF/120/208V/3PH/4W	JDIS36	J2013	MULTI FEEDS SEE LEGEND		DWG. J ELEC SLD	15/08/2011	# CCT:N/A	PREV. ID: (N/A)	JSPT01	J2013	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1B17	_U108	JTR02	J2013	225KvA 600>120/208V 3PH 4W	JSDP02-BKR10	J2013	JSPT01	J2013	DWG. J ELEC SLD	15/08/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1B02	_U75	JSDP02-BKR10	J2013	400AR/AT/347/600V/3PH/4W	JSDP02	J2013	JTR02	J2013	DWG. J ELEC SLD	15/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1AED	_U75	JSDP02-BKR09	J2013	200AR/AT/347/600V/3PH/4W	JSDP02	J2013	JSDP03	J2005	DWG. J ELEC SLD	15/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1AD8	_U75	JSDP02-BKR05	J2013	40AR/AT/347/600V/3PH/4W	JSDP02	J2013	JELEV01	J1017	DWG. J ELEC SLD	15/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1ABC	_U120	JPP11	J1016	225AR/100AF/120/208V/3PH/4W	JDIS36	J2013	MULTI FEEDS SEE LEGEND		DWG. J ELEC SLD	15/08/2011	# CCT:N/A	PREV. ID: (N/A)	JSDP02	J2013	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1AA7	_U107	JPP12	J1016	225AR/100AF/120/208V/3PH/4W	JDIS37	J2013	MULTI FEEDS SEE LEGEND		DWG. J ELEC SLD	15/08/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1A92	_U107	JPP11	J1016	225AR/100AF/120/208V/3PH/4W	JDIS36	J2013	MULTI FEEDS SEE LEGEND		DWG. J ELEC SLD	15/08/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1A7D	_U107	JPP09	J2007	225AR/AF/120/208V/3PH/4W	JDIS34	J2013	MULTI FEEDS SEE LEGEND		DWG. J ELEC SLD	15/08/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1A68	_U107	JPP08	J2002-1	225AR/AF/120/208V/3PH/4W	JDIS33	J2013	MULTI FEEDS SEE LEGEND		DWG. J ELEC SLD	15/08/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1A53	_U107	JPP07	J2008-C	225AR/AF/120/208V/3PH/4W	JDIS32	J2013	MULTI FEEDS SEE LEGEND		DWG. J ELEC SLD	15/08/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1A3E	_U107	JPP06	J2008-C	225AR/AF/120/208V/3PH/4W	JDIS31	J2013	MULTI FEEDS SEE LEGEND		DWG. J ELEC SLD	15/08/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'19FF	_U110	JDIS37	J2013	100AR/AF/120/208V/3PH/4W	JSPT01	J2013	JPP12	J1016	DWG. J ELEC SLD	15/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'19EA	_U110	JDIS36	J2013	100AR/AF/120/208V/3PH/4W	JSPT01	J2013	JPP11	J1016	DWG. J ELEC SLD	15/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'19D5	_U121	JDIS35	J2013	100AR/AF/120/208V/3PH/4W	JSPT01	J2013	JSPT10	J1015-3	DWG. J ELEC SLD	15/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'19C0	_U110	JDIS34	J2013	100AR/AF/120/208V/3PH/4W	JSPT01	J2013	JPP09	J2007	DWG. J ELEC SLD	15/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'19AB	_U110	JDIS33	J2013	100AR/AF/120/208V/3PH/4W	JSPT01	J2013	JPP08	J2002-1	DWG. J ELEC SLD	15/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1996	_U110	JDIS32	J2013	100AR/AF/120/208V/3PH/4W	JSPT01	J2013	JPP07	J2008-C	DWG. J ELEC SLD	15/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'1981	_U110	JDIS31	J2013	200AR/AF/120/208V/3PH/4W	JSPT01	J2013	JPP06	J2008-C	DWG. J ELEC SLD	15/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 200A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'18EA	_U110	JDIS04	J1032-2	100AR/AF/120/208V/3PH/4W	JMB43	J1038-1	CAM LOCKS	J1032-2	DWG. J ELEC SLD	15/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'18D5	_U110	JDIS03	J1032-1	100AR/AF/120/208V/3PH/4W	JMB39	J1038-1	CAM LOCKS	J1032-1	DWG. J ELEC SLD	15/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'18C0	_U110	JDIS02	J1032-2	200AR/AF/120/208V/3PH/4W	JMB36	J1038-1	CAM LOCKS	J1032-2	DWG. J ELEC SLD	15/08/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 200A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
