EQUIP-DESIGNATION,EQUIP-LOCATION,EQUIP-ELEC-PROP,PRE-DESIGNATION,PRE-DESIGNATION-LOCATION,NEXT-DESIGNATION,NEXT-DESIGNATION-LOCATION
['STMB01'],['ST133'],"['1200AR/1200AT', '600V', '3PH', '3W']",['STSS01'],[],['STSDP01'],['ST133']
['STPPF'],['ST135'],"['225AR/200AT', '120/208V', '3PH', '4W']",['STSDP02-R-X13/15/17'],['ST133'],"['MULTIPLE', 'FEEDS', '-', 'SEE', 'LEGEND']",[]
['STPPG'],['ST141'],"['225AR/200AT', '120/208V', '3PH', '4W']",['STSDP02-R-X31/33/35'],['ST133'],"['MULTIPLE', 'FEEDS', '-', 'SEE', 'LEGEND']",[]
['STPPH'],['ST143'],"['225AR/150AT', '120/208V', '3PH', '4W']",['STSDP02-R-X7/9/11'],['ST133'],"['MULTIPLE', 'FEEDS', '-', 'SEE', 'LEGEND']",[]
['STPPJ'],['ST147'],"['225AR/60AT', '120/208V', '3PH', '4W']",['STSDP02-L-X7/9/11'],['ST133'],"['MULTIPLE', 'FEEDS', '-', 'SEE', 'LEGEND']",[]
['STPPL'],['ST148A'],"['225AR/60AT', '120/208V', '3PH', '4W']",['STSDP02-L-X13/15/17'],['ST133'],"['MULTIPLE', 'FEEDS', '-', 'SEE', 'LEGEND']",[]
['STPPA'],['ST153'],"['225AR/200AT', '120/208V', '3PH', '4W']",['STSDP02-R-X19/21/23'],['ST133'],"['MULTIPLE', 'FEEDS', '-', 'SEE', 'LEGEND']",[]
['STDIMRACK'],['ST170'],"['200AR/200AT', '120/208V', '3PH', '4W']",['STSDP04-X49/51/53'],['ST186'],"['MULTIPLE', 'FEEDS', '-', 'SEE', 'LEGEND']",[]
['STPPP'],['ST170'],"['225AR/60AT', '120/208V', '3PH', '4W']",['STSDP04-X8/10/12'],['ST186'],"['MULTIPLE', 'FEEDS', '-', 'SEE', 'LEGEND']",[]
['STPPR1'],['ST170'],"['225AR/60AT', '120/208V', '3PH', '4W']",['STTR03'],['ST170'],"['MULTIPLE', 'FEEDS', '-', 'SEE', 'LEGEND']",[]
['STPPR'],['ST170'],"['225AR/60AT', '120/208V', '3PH', '4W']",['STTR03'],['ST170'],"['MULTIPLE', 'FEEDS', '-', 'SEE', 'LEGEND']",[]
['STTR03'],['ST170'],"['45KVA', '600>120/208V', '3PH', '4W']",['STSDP03-14'],['ST186'],['STPPR/R1'],['ST170']
['STPPQ/Q1'],['ST179'],"['225AR/200AT', '120/208V', '3PH', '4W']",['STSDP04-X43/45/47'],['ST186'],"['MULTIPLE', 'FEEDS', '-', 'SEE', 'LEGEND']",[]
['STPPN'],['ST186'],"['225AR/200AT', '120/208V', '3PH', '4W']",['STSDP04-X44/46/48'],['ST186'],"['MULTIPLE', 'FEEDS', '-', 'SEE', 'LEGEND']",[]
['STPPS/S1'],['ST186'],"['225AR/125AT', '120/208V', '3PH', '4W']",['STSDP04-X38/40/42'],['ST186'],"['MULTIPLE', 'FEEDS', '-', 'SEE', 'LEGEND']",[]
['STSDP04-X49/51/53'],['ST186'],"['200AR/200AT', '120/208V', '3PH', '3W']",['STSDP04'],['ST186'],['STDIMRACK'],['ST170']
['STSDP04-X43/45/47'],['ST186'],"['200AR/200AT', '120/208V', '3PH', '3W']",['STSDP04'],['ST186'],['STPPQ/Q1'],['ST179']
['STSDP04-X44/46/48'],['ST186'],"['200AR/200AT', '120/208V', '3PH', '3W']",['STSDP04'],['ST186'],['STPPN'],['ST186']
['STSDP04-X38/40/42'],['ST186'],"['125AR/125AT', '120/208V', '3PH', '3W']",['STSDP04'],['ST186'],['STPPS/S1'],['ST186']
['STSDP04-X8/10/12'],['ST186'],"['60AR/60AT', '120/208V', '3PH', '3W']",['STSDP04'],['ST186'],['STPPP'],['ST170']
['STSDP04-X2/4/6'],['ST186'],"['100AR/100AT', '120/208V', '3PH', '3W']",['STSDP04'],['ST186'],['STPPPORT'],['STPORTABLE']
['STTR02'],['ST186'],"['300KVA', '600>120/208V', '3PH', '4W']",['STSDP03-16'],['ST186'],['STSDP04'],['ST186']
['STSDP03-16'],['ST186'],"['300AR/300AT', '600V', '3PH', '3W']",['STSDP03'],['ST186'],['STTR02'],['ST186']
['STSDP03-14'],['ST186'],"['60AR/60AT', '600V', '3PH', '3W']",['STSDP03'],['ST186'],['STTR03'],['ST170']
['STSDP03-13'],['ST186'],"['100AR/100AT', '600V', '3PH', '3W']",['STSDP03'],['ST186'],['STSDIS10'],"['ON', 'ROOF']"
['STSDP03-11'],['ST186'],"['60AR/60AT', '600V', '3PH', '3W']",['STSDP03'],['ST186'],['STSDIS08'],"['ON', 'ROOF']"
['STPPC'],['STEASTCORR'],"['225AR/150AT', '120/208V', '3PH', '4W']",['STSDP02-L-X27/29/31'],['ST133'],"['MULTIPLE', 'FEEDS', '-', 'SEE', 'LEGEND']",[]
['STPPPORT'],['STPORTABLE'],"['225AR/100AT', '120/208V', '3PH', '4W']",['STSDP04-X2/4/6'],['ST186'],"['MULTIPLE', 'FEEDS', '-', 'SEE', 'LEGEND']",[]
['STPPB'],['STWESTCORR'],"['225AR/200AT', '120/208V', '3PH', '4W']",['STSDP02-R-X25/27/29'],['ST133'],"['MULTIPLE', 'FEEDS', '-', 'SEE', 'LEGEND']",[]
