HANDLE	BLOCKNAME	EQUIP-DESIGNATION	EQUIP-LOCATION	EQUIP-ELEC-PROP	PRE-DESIGNATION	PRE-DESIGNATION-LOCATION	NEXT-DESIGNATION	NEXT-DESIGNATION-LOCATION	DWG	DATE	NO._OF_CCT'S	PREVIOUS_ID	EQUIP-DESIG.	EQUIP-LOC	FUSE_INPACITY	FUSE_INPACITY1	MOTOR-HP	EQUIP-ID	EQUIP-LOCATION1	EQUIP-PROPERTIES1
'45F8	*U158	CEDIS02	C2001	600AR/AT 120/208V/3PH/4W	CSPT05	C2001	CEDIS03	C1021	DWG. C ELEC SLD	14/06/2011	# CTT:	PREV. ID#	MMB01	M1019	In: 60A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'436C	*U158	CEDIS01	C2001	100AR/AT 120/208V/3PH/4W	CSPT05	C2001	CLP02	C2001	DWG. C ELEC SLD	14/06/2011	# CTT:	PREV. ID#	MMB01	M1019	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'40AF	*U165	PDIS04	P1001	60A/600V/3P/3W	PSPT01	P1001			DWG. C ELEC SLD		# CTT:	PREV. ID#	CSPT06	C2002	In: 60A	In: 90A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'3EC9	*U163	C1020-UPS01	C1021	20kVA/208V 54.2/57.7A	CEDIS03	C1021			DWG. C ELEC SLD		# CTT:	PREV. ID#	PSPT01	P1001	In: 60A	In: 90A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'3CA7	_U112	CPP30	C2002	100AT 120/208V/3PH/4W	CSPT06	C2002	MULTIFEEDS SEE LEGEND		DWG. C ELEC SLD	14/06/2011	# CCT:N/A	PREV. ID: (PANEL 2N)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'3C79	_U112	CPP29	C2002	100AT 120/208V/3PH/4W	CSPT06	C2002	MULTIFEEDS SEE LEGEND		DWG. C ELEC SLD	14/06/2011	# CCT:N/A	PREV. ID: (PANEL 2N)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'3C4B	_U112	CPP28	C2002	100 120/208V/3PH/4W	CSPT06	C2002	MULTIFEEDS SEE LEGEND		DWG. C ELEC SLD	14/06/2011	# CCT:N/A	PREV. ID: (PANEL 2N)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'3A43	*U163	C1020-UPS01	C1021	20kVA/208V 54.2/57.7A	CEDIS03	C1021			DWG. C ELEC SLD		# CTT:	PREV. ID#	CSPT06	C2002	In: 60A	In: 90A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'378F	*U162	C1020-UPS01-PP01	C1020	55.5A/208V	C1020-UPS01	C1021			DWG. C ELEC SLD	14/06/2011	# CTT:	PREV. ID#	MMB01	M1019	In: 60A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'3509	*U161	C1020-UPS01	C1021	20kVA/208V 54.2/57.7A	CEDIS03	C1021			DWG. C ELEC SLD		# CTT:	PREV. ID#	MMB01	M1019	In: 60A	In: 90A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'3283	*U160	C1020-UPS01	C1021	20kVA/208V 55.5a			C1020-UPS01-PP01	C1020	DWG. C ELEC SLD	14/06/2011	# CTT:	PREV. ID#	MMB01	M1019	In: 60A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2FFA	*U159	C1020-UPS01	C1021	20kVA/208V 54.2/57.7A	CEDIS03	C1021			DWG. C ELEC SLD	14/06/2011	# CTT:	PREV. ID#	MMB01	M1019	In: 60A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2D95	*U158	CEDIS03	C1021	60AR/AF 120/208V/3PH/4W	CEDIS02	C2001	C1020-UPS01	C1021	DWG. C ELEC SLD	14/06/2011	# CTT:	PREV. ID#	MMB01	M1019	In: 60A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'26B5	_U112	CPP12	C1004	60AR/AT 120/208V/3PH/4W	CPP11-CCT13/15/17	C1004	MULTIFEEDS SEE LEGEND		DWG. C ELEC SLD	18/07/2011	# CCT:N/A	PREV. ID: (C1004 NORTH)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'26A0	_U112	CPP14	C1004	125AR/70AT 120/208V/3PH/4W	CPP27-BKR04	C2014	MULTIFEEDS SEE LEGEND		DWG. C ELEC SLD	15/06/2011	# CCT:N/A	PREV. ID: (HOIST)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2688	_U153	C ELEVATOR									# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2673	_U124	CDIS10	C1001	30AR/AF/600V/3PH/3W	CPP26-BKR09	C2014	C ELEVATOR	C1004	DWG. C ELEC SLD	19/07/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 30A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'262C	_U112	CLP02	C2001	60AR/AT/ 120/208V/3PH/4W	CEDIS01	C2001	MULTIFEEDS SEE LEGEND		DWG. C ELEC SLD	14/06/2011	# CCT:N/A	PREV. ID: (9E)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'25D7	_U148	CPP22	C2017	225AR 120/208V/3PH/4W	CTR08	C2017	MULTIFEEDS SEE LEGEND		DWG. C ELEC SLD	15/06/2011	# CCT:N/A	PREV. ID: (SS)	CSPT05	C2001	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'25BF	_U111	CTR09	C2001 E	45KvA 600>120/208V/3PH/4W	CDIS03	C2001	CSPT05	C2001	DWG. C ELEC SLD	14/06/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'25AA	_U160	CDIS03	C2001 E	60AR/NF/347/600V/3PH/3W	CDIS01	C1036-4	CTR09	C2001	DWG-C ELEC SLD 	15/06/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2595	_U159	CDIS02	C1036-4 E	30AR/15AF/347/600V/3PH/4W	CSPT01	C1036-4	CTR02	C1036-4	DWG-C ELEC SLD 	14/06/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 15A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2580	_U159	CDIS01	C1036-4 E	60AR/AF/347/600V/3PH/4W	CSPT01	C1036-4	CDIS03	C2001	DWG-C ELEC SLD 	14/06/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 60A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'256A	_U147	CPP22	C2017	225AR 120/208V/3PH/4W	CTR08	C2017	MULTIFEEDS SEE LEGEND		DWG. C ELEC SLD	15/06/2011	# CCT:N/A	PREV. ID: (SS)	CSPT01	C1036-4	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'254D	_U146	CATS01	C1036-4 E	60A/347/600V/3PH/4W	DEDP01-BKR07	D1022	CSPT01	C1036-4	DWG-C ELEC SLD 	14/06/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2538	_U145	CATS01	C1036-4	60A/347/600V/2PH/4W	CPP01-CCT37	C1036-4	CSPT01	C1036-4	DWG. C ELEC SLD	14/06/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'2523	_U144	CPP01-CCT 37/39/41	   C1036-4	60AR/AT 347/600V/3PH/4W	CPP01	C1036-4	CATS01	C1036-4	DWG. C ELEC SLD	14/06/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'250B	_U150	CPP22	C2017	225AR 120/208V/3PH/4W	CTR08	C2017	MULTIFEEDS SEE LEGEND		DWG. C ELEC SLD	15/06/2011	# CCT:N/A	PREV. ID: (SS)	CPP01	C1036-4	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'24F6	_U112	PPP01	P1001	100AR/AF 120/208V/3PH/4W	PDIS01-13	P1001	MULTIFEEDS SEE LEGEND		DWG. C ELEC SLD	19/07/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'24E1	_U138	PSPD01-13	P1001	100AR/AF 120/208V/3PH/4W	PSDP01	P1001	PPP01	P1001	DWG. C ELEC SLD	19/07/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
