HANDLE	BLOCKNAME	EQUIP-DESIGNATION	EQUIP-LOCATION	EQUIP-ELEC-PROP	PRE-DESIGNATION	PRE-DESIGNATION-LOCATION	NEXT-DESIGNATION	NEXT-DESIGNATION-LOCATION	DWG	DATE	NO._OF_CCT'S	PREVIOUS_ID	EQUIP-DESIG.	EQUIP-LOC	FUSE_INPACITY	FUSE_INPACITY1	MOTOR-HP	EQUIP-ID	EQUIP-LOCATION1	EQUIP-PROPERTIES1
'5352	_U75	DPP32#2	D1031	225AR/150AF 120/208V/3PH/4W	DSDP07-DIS10	D1031-EL	MULTIFEEDS SEE LEGEND		DWG. B ELEC SLD	05/24/2011	# CCT:N/A	PREV. ID: (ICPB)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'531A	_U75	DPP30#2	D1029-EL	225AR/100AF 120/208V/3PH/4W	DSDP07-DIS05	D1031-EL	MULTIFEEDS SEE LEGEND		DWG. B ELEC SLD	05/24/2011	# CCT:N/A	PREV. ID: (ICPE-1)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'527A	_U116	DDIS72	FOODCOURT_ROOF	60AR/AF 347/600V/3PH/4W	DSPT01	D4003			DWG. D ELEC SLD	03/29/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 60A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'5201	_U116	DDIS73	FOODCOURT_ROOF	60AR/AF 347/600V/3PH/4W	DSPT01	D4003			DWG. D ELEC SLD	03/29/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 60A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'51D3	_U116	DDIS74	D4003	30AR/30AF 347/600V/3PH/4W	DSPT01	D4003			DWG. D ELEC SLD	03/29/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 30A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'51A5	_U116	DDIS75	D1025-ROOF	60AR/50AF 347/600V/3PH/4W	DSPT01	D4003			DWG. D ELEC SLD	03/29/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 50A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'5088	*U187	MMB01	M1019	150A/600V/3PH/3W	MSDP05	M1019	MDIS05	M1002	DWG.#	  /  /	# CTT:	PREV. ID#	DSPT01	D4003	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'4E9F	*U186	D_MAIN_AC	D4011	100A/600V/3PH/4W	DSPL05	4011			DWG. D ELEC SLD	05/17/2011	# CTT:	PREV. ID#	DSPT05	D4011	In: 100A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'4BF4	*U186	DAC01_HD01	D4011	30A/600V/3PH/4W	DSPL05	D4011			DWG. D ELEC SLD	05/17/2011	# CTT:	PREV. ID#	DSPT05	D4011	In: 15A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'48D1	*U185	MMB01	M1019	150A/600V/3PH/3W	MSDP05	M1019	MDIS05	M1002	DWG.#	  /  /	# CTT:	PREV. ID#	DSPL05	D4011	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
